mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	d.i{					d	i		i	i						{	m	1	1	2, -1, 3		2	2	2	2	0.5	0.25	0.25	0.5
1	1	1/4	1/4	4/4	2	1	i2				III64	d	i		i2	i		2					mm7	1	1	0, 2, -1, 3		2	0	2	2	0.5	0.25	0.25	0.5
1	1	1/2	1/2	4/4	2	1	iv(96)					d	i		iv(96)	iv			96				m	1	1	1, -2, 4	3	1	1	0	4	0.0	0.0	0.5	0.0
1	1	3/4	3/4	4/4	2	1	i43					d	i		i43	i		43					mm7	1	1	3, 0, 2, -1		2	3	0	3	0.0	0.0	0.5	0.0
2	2	0	0	4/4	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	2	2	0.5	0.25	0.25	0.5
2	2	1/4	1/4	4/4	2	1	i2				III64	d	i		i2	i		2					mm7	1	1	0, 2, -1, 3		2	0	2	2	0.5	0.25	0.25	0.5
2	2	1/2	1/2	4/4	2	1	iv(96)					d	i		iv(96)	iv			96				m	1	1	1, -2, 4	3	1	1	0	6	0.0	0.0	0.5	0.0
2	2	3/4	3/4	4/4	2	1	i43					d	i		i43	i		43					mm7	1	1	3, 0, 2, -1		2	3	0	3	0.0	0.0	0.5	0.0
3	3	0	0	4/4	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	2	2	0.5	0.25	0.25	0.5
3	3	1/4	1/4	4/4	2	1	i2				III64	d	i		i2	i		2					mm7	1	1	0, 2, -1, 3		2	0	2	2	0.5	0.25	0.25	0.5
3	3	1/2	1/2	4/4	2	1	iv(96)				v2	d	i		iv(96)	iv			96				m	1	1	1, -2, 4	3	1	1	0	4	0.0	0.0	0.5	0.0
3	3	3/4	3/4	4/4	2	1	i64(13)				III6(11)	d	i		i64(13)	i		64	13				m	1	1	3, 2, -1	-2	2	3	0	4	0.0	0.0	0.625	0.0
4	4	0	0	4/4	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	2	2	0.5	0.25	0.25	0.5
4	4	1/4	1/4	4/4	2	1	i2				III64	d	i		i2	i		2					mm7	1	1	0, 2, -1, 3		2	0	2	2	0.5	0.25	0.25	0.5
4	4	1/2	1/2	4/4	2	1	iv(96)				v2	d	i		iv(96)	iv			96				m	1	1	1, -2, 4	3	1	1	0	6	0.0	0.0	0.5	0.0
4	4	3/4	3/4	4/4	2	1	i64(13)				III6(11)}	d	i		i64(13)	i		64	13				m	1	1	3, 2, -1	-2	2	3	0	4	0.0	0.0	0.625	0.0
5	5	0	0	4/4	2	1	i(9)				ii%43{	d	i		i(9)	i			9				m	1	1	2, -1, 3	4	2	2	1	3	0.25	0.125	0.375	0.25
5	5	1/4	1/4	4/4	2	1	V7/iv					d	i		V7/iv	V		7		iv			Mm7	1	1	2, 6, 3, 0		2	2	2	2	0.5	0.375	0.125	0.75
5	5	1/2	1/2	4/4	2	1	iv(96)				v2	d	i		iv(96)	iv			96				m	1	1	1, -2, 4	3	1	1	0	4	0.0	0.0	0.5	0.0
5	5	3/4	3/4	4/4	2	1	i64(13)				III6(11)	d	i		i64(13)	i		64	13				m	1	1	3, 2, -1	-2	2	3	0	4	0.0	0.0	0.625	0.0
6	6	0	0	4/4	2	1	i(9)				ii%43	d	i		i(9)	i			9				m	1	1	2, -1, 3	4	2	2	1	5	0.16666666666666666	0.125	0.375	0.25
6	6	1/4	1/4	4/4	2	1	V7/iv					d	i		V7/iv	V		7		iv			Mm7	1	1	2, 6, 3, 0		2	2	2	2	0.5	0.25	0.25	0.5
6	6	1/2	1/2	4/4	2	1	iv(96)				v2	d	i		iv(96)	iv			96				m	1	1	1, -2, 4	3	1	1	0	4	0.0	0.0	0.5	0.0
6	6	3/4	3/4	4/4	2	1	i64(13)				III6(11)	d	i		i64(13)	i		64	13				m	1	1	3, 2, -1	-2	2	3	0	4	0.0	0.0	0.625	0.0
7	7	0	0	4/4	2	1	i(9b6)				ii%2	d	i		i(9b6)	i			9b6				m	1	1	2, -1, -9	4	2	2	1	3	0.25	0.125	0.375	0.25
7	7	1/4	1/4	4/4	2	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	4	0.0	0.0	0.5	0.0
7	7	1/2	1/2	4/4	2	1	V(96)/III					d	i		V(96)/III	V			96	III			M	1	1	0, 4, 3	2	0	0	0	5	0.0	0.0	0.5	0.0
7	7	3/4	3/4	4/4	2	1	i(6)				VI6	d	i		i(6)	i			6				m	1	1	2, -1, -2		2	2	0	5	0.0	0.0	0.75	0.0
8	8	0	0	4/4	2	1	i(9b6)				ii%2	d	i		i(9b6)	i			9b6				m	1	1	2, -1, -9	4	2	2	1	5	0.16666666666666666	0.125	0.375	0.25
8	8	1/4	1/4	4/4	2	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	4	0.0	0.0	0.5	0.0
8	8	1/2	1/2	4/4	2	1	V(96)/III					d	i		V(96)/III	V			96	III			M	1	1	0, 4, 3	2	0	0	0	4	0.0	0.0	0.5	0.0
8	8	3/4	3/4	4/4	2	1	i(6)				VI6}	d	i		i(6)	i			6				m	1	1	2, -1, -2		2	2	0	5	0.0	0.0	0.75	0.0
9	9	0	0	4/4	2	1	i(9b6)				ii%2{	d	i		i(9b6)	i			9b6				m	1	1	2, -1, -9	4	2	2	1	3	0.25	0.125	0.375	0.25
9	9	1/4	1/4	4/4	2	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	4	0.0	0.0	0.5	0.0
9	9	1/2	1/2	4/4	2	1	V(9)/III					d	i		V(9)/III	V			9	III			M	1	1	0, 4, 1	2	0	0	0	6	0.0	0.0	0.75	0.0
9	9	3/4	3/4	4/4	2	1	i(96)				VI6(11)	d	i		i(96)	i			96				m	1	1	2, -1, -2	4	2	2	0	7	0.0	0.0	1.0	0.0
10	10	0	0	4/4	2	1	i(9b6)				ii%2	d	i		i(9b6)	i			9b6				m	1	1	2, -1, -9	4	2	2	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
10	10	1/4	1/4	4/4	2	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	6	0.0	0.0	0.75	0.0
10	10	1/2	1/2	4/4	2	1	V(9)/III					d	i		V(9)/III	V			9	III			M	1	1	0, 4, 1	2	0	0	0	6	0.0	0.0	0.75	0.0
10	10	3/4	3/4	4/4	2	1	i(96)				VI6(11)	d	i		i(96)	i			96				m	1	1	2, -1, -2	4	2	2	0	7	0.0	0.0	1.0	0.0
11	11	0	0	6/4	2	1	iio6	0	5.63763	/		d	i		iio6	ii	o	6					o	1	1	1, -2, 4		4	1	0	5	0.0	0.0	0.75	0.0
11	11	1/4	1/4	6/4	2	1	v	0	5.63763	/		d	i		v	v							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	0.75	0.0
11	11	1/2	1/2	6/4	2	1	ii%43					d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2	0	5	0.0	0.0	0.75	0.0
11	11	3/4	3/4	6/4	2	1	v6					d	i		v6	v		6					m	1	1	0, 4, 3		3	0	0	5	0.0	0.0	0.75	0.0
11	11	1	1	6/4	2	1	ii%43					d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2	0	5	0.0	0.0	0.75	0.0
11	11	5/4	5/4	6/4	2	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	0.75	0.0
12	12	0	0	6/4	2	1	iio6					d	i		iio6	ii	o	6					o	1	1	1, -2, 4		4	1	0	5	0.0	0.0	0.75	0.0
12	12	1/4	1/4	6/4	2	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	0.75	0.0
12	12	1/2	1/2	6/4	2	1	ii%43					d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2	0	5	0.0	0.0	0.75	0.0
12	12	3/4	3/4	6/4	2	1	v6					d	i		v6	v		6					m	1	1	0, 4, 3		3	0	0	5	0.0	0.0	0.75	0.0
12	12	1	1	6/4	2	1	ii%43					d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2	0	5	0.0	0.0	0.75	0.0
12	12	5/4	5/4	6/4	2	1	v}					d	i		v	v						}	m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	0.75	0.0
13	13	0	0	4/4	2	1	i{					d	i		i	i						{	m	1	1	2, -1, 3		2	2	2	2	0.5	0.25	0.25	0.5
13	13	1/4	1/4	4/4	2	1	i2				III64	d	i		i2	i		2					mm7	1	1	0, 2, -1, 3		2	0	2	2	0.5	0.25	0.25	0.5
13	13	1/2	1/2	4/4	2	1	iv(96)					d	i		iv(96)	iv			96				m	1	1	1, -2, 4	3	1	1	0	4	0.0	0.0	0.5	0.0
13	13	3/4	3/4	4/4	2	1	i43					d	i		i43	i		43					mm7	1	1	3, 0, 2, -1		2	3	0	3	0.0	0.0	0.5	0.0
14	14	0	0	4/4	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	1	4	0.2	0.03125	0.5625	0.05263157894736842
14	14	1/4	1/4	4/4	2	2	V7(9b6)/III}				bV6(119)}	d	i		V7(9b6)/III	V		7	9b6	III		}	Mm7	1	1	0, 4, -4, -2	2	0	0	0	4	0.0	0.0	0.5625	0.0
